planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
RRTstar,1,0,112345,1000000,0,first_solution,1.000,1,5.001722,0.000561,5.002283,29.210424,25.663112
BITstar,1,0,112345,1000000,0,first_solution,1.000,1,4.024658,0.000659,4.025317,29.994764,24.760690
RRTConnect,1,1,113345,1000000,0,first_solution,1.000,1,0.003344,0.000945,0.004288,43.220348,32.540674
PRMstar,1,1,113345,1000000,0,first_solution,1.000,1,5.007654,0.000717,5.008372,30.237816,24.962504
RRTstar,1,1,113345,1000000,0,first_solution,1.000,1,5.000659,0.000713,5.001372,30.686635,25.227335
BITstar,1,1,113345,1000000,0,first_solution,1.000,1,4.032372,0.000647,4.033019,28.649231,25.100929
RRTConnect,1,2,114345,1000000,0,first_solution,1.000,1,0.002456,0.001025,0.003481,48.344388,35.208453
PRMstar,1,2,114345,1000000,0,first_solution,1.000,1,5.007745,0.009498,5.017243,30.207548,24.673018
RRTstar,1,2,114345,1000000,0,first_solution,1.000,1,5.001995,0.000635,5.002630,29.735708,24.856679
BITstar,1,2,114345,1000000,0,first_solution,1.000,1,4.005974,0.000696,4.006670,29.147930,24.443606
RRTConnect,1,3,115345,1000000,0,first_solution,1.000,1,0.001983,0.001063,0.003046,41.638678,31.690170
PRMstar,1,3,115345,1000000,0,first_solution,1.000,1,5.006312,0.000743,5.007054,30.242521,24.693201
RRTstar,1,3,115345,1000000,0,first_solution,1.000,1,5.001370,0.000650,5.002020,29.365100,25.451972
BITstar,1,3,115345,1000000,0,first_solution,1.000,1,4.060362,0.000711,4.061074,29.705710,24.616288
RRTConnect,1,4,116345,1000000,0,first_solution,1.000,1,0.002594,0.000847,0.003442,32.719031,26.519094
PRMstar,1,4,116345,1000000,0,first_solution,1.000,1,5.006454,0.000679,5.007133,28.048760,24.465393
RRTstar,1,4,116345,1000000,0,first_solution,1.000,1,5.001120,0.000661,5.001781,30.690288,25.248204
BITstar,1,4,116345,1000000,0,first_solution,1.000,1,4.049984,0.000671,4.050655,28.394861,24.630484
RRTConnect,1,5,117345,1000000,0,first_solution,1.000,1,0.001384,0.001342,0.002727,45.806436,32.924678
PRMstar,1,5,117345,1000000,0,first_solution,1.000,1,5.008263,0.000570,5.008833,32.437524,24.686929
RRTstar,1,5,117345,1000000,0,first_solution,1.000,1,5.001184,0.000630,5.001814,29.428967,25.211870
BITstar,1,5,117345,1000000,0,first_solution,1.000,1,4.079523,0.000737,4.080260,31.165729,24.497286
RRTConnect,1,6,118345,1000000,0,first_solution,1.000,1,0.001446,0.001218,0.002664,47.457266,32.661602
PRMstar,1,6,118345,1000000,0,first_solution,1.000,1,5.006443,0.000679,5.007122,28.497435,24.432627
RRTstar,1,6,118345,1000000,0,first_solution,1.000,1,5.001412,0.000707,5.002118,37.440487,31.699930
BITstar,1,6,118345,1000000,0,first_solution,1.000,1,4.048237,0.000688,4.048925,28.339730,24.363064
RRTConnect,1,7,119345,1000000,0,first_solution,1.000,1,0.001618,0.000917,0.002535,43.298023,33.068706
PRMstar,1,7,119345,1000000,0,first_solution,1.000,1,5.007470,0.000720,5.008190,29.800321,24.260177
RRTstar,1,7,119345,1000000,0,first_solution,1.000,1,5.000995,0.000603,5.001598,29.837702,24.576569
BITstar,1,7,119345,1000000,0,first_solution,1.000,1,4.079767,0.000854,4.080621,30.042571,24.362952
RRTConnect,1,8,120345,1000000,0,first_solution,1.000,1,0.003441,0.001080,0.004521,40.870383,33.251707
PRMstar,1,8,120345,1000000,0,first_solution,1.000,1,5.008032,0.000617,5.008648,29.473848,24.519338
RRTstar,1,8,120345,1000000,0,first_solution,1.000,1,5.001718,0.000737,5.002455,30.865445,25.609714
BITstar,1,8,120345,1000000,0,first_solution,1.000,1,4.067879,0.000708,4.068587,29.430622,24.356605
RRTConnect,1,9,121345,1000000,0,first_solution,1.000,1,0.001358,0.000902,0.002260,47.483414,38.108858
PRMstar,1,9,121345,1000000,0,first_solution,1.000,1,5.007888,0.009725,5.017613,30.086291,24.722578
RRTstar,1,9,121345,1000000,0,first_solution,1.000,1,5.001226,0.000735,5.001961,30.524315,24.375937
BITstar,1,9,121345,1000000,0,first_solution,1.000,1,4.044374,0.000715,4.045089,29.732216,24.778579
RRTConnect,1,10,122345,1000000,0,first_solution,1.000,1,0.001243,0.000916,0.002159,41.064827,33.036372
PRMstar,1,10,122345,1000000,0,first_solution,1.000,1,5.008125,0.000658,5.008783,29.109985,24.819758
RRTstar,1,10,122345,1000000,0,first_solution,1.000,1,5.001538,0.002306,5.003844,29.687284,25.146157
BITstar,1,10,122345,1000000,0,first_solution,1.000,1,4.000349,0.000742,4.001091,30.465220,25.333245
RRTConnect,1,11,123345,1000000,0,first_solution,1.000,1,0.002787,0.000914,0.003701,41.544912,32.080550
PRMstar,1,11,123345,1000000,0,first_solution,1.000,1,5.006614,0.000635,5.007249,27.624873,24.384000
RRTstar,1,11,123345,1000000,0,first_solution,1.000,1,5.001842,0.000597,5.002439,29.298161,24.727160
BITstar,1,11,123345,1000000,0,first_solution,1.000,1,4.021952,0.000666,4.022619,28.653335,24.338231
RRTConnect,1,12,124345,1000000,0,first_solution,1.000,1,0.001610,0.000828,0.002437,41.397309,33.377268
PRMstar,1,12,124345,1000000,0,first_solution,1.000,1,5.007745,0.000621,5.008366,27.878793,24.323525
RRTstar,1,12,124345,1000000,0,first_solution,1.000,1,5.002130,0.000583,5.002713,27.819776,24.322683
BITstar,1,12,124345,1000000,0,first_solution,1.000,1,4.000321,0.000598,4.000919,28.443158,24.637501
RRTConnect,1,13,125345,1000000,0,first_solution,1.000,1,0.001956,0.001241,0.003197,41.263482,31.433119
PRMstar,1,13,125345,1000000,0,first_solution,1.000,1,5.008368,0.000770,5.009138,29.469745,24.600926
RRTstar,1,13,125345,1000000,0,first_solution,1.000,1,5.001535,0.000696,5.002232,28.238297,24.282717
BITstar,1,13,125345,1000000,0,first_solution,1.000,1,4.000342,0.000808,4.001150,31.003458,24.564493
RRTConnect,1,14,126345,1000000,0,first_solution,1.000,1,0.007086,0.001155,0.008241,47.764596,35.172025
PRMstar,1,14,126345,1000000,0,first_solution,1.000,1,5.007128,0.000649,5.007776,29.433829,24.511613
RRTstar,1,14,126345,1000000,0,first_solution,1.000,1,5.001306,0.000613,5.001920,29.144302,25.316463
BITstar,1,14,126345,1000000,0,first_solution,1.000,1,4.050603,0.000767,4.051371,28.341047,24.326960
RRTConnect,1,15,127345,1000000,0,first_solution,1.000,1,0.004015,0.001159,0.005174,44.036336,32.714279
PRMstar,1,15,127345,1000000,0,first_solution,1.000,1,5.006395,0.000636,5.007031,28.262447,24.660777
RRTstar,1,15,127345,1000000,0,first_solution,1.000,1,5.000811,0.000589,5.001399,29.326218,24.527002
BITstar,1,15,127345,1000000,0,first_solution,1.000,1,4.018697,0.000730,4.019427,29.098073,25.018439
RRTConnect,1,16,128345,1000000,0,first_solution,1.000,1,0.001451,0.000908,0.002359,42.231317,31.786404
PRMstar,1,16,128345,1000000,0,first_solution,1.000,1,5.008498,0.000700,5.009198,30.236070,24.897956
RRTstar,1,16,128345,1000000,0,first_solution,1.000,1,5.001887,0.000643,5.002531,28.623230,24.689216
BITstar,1,16,128345,1000000,0,first_solution,1.000,1,4.050722,0.000729,4.051452,29.508638,24.810311
RRTConnect,1,17,129345,1000000,0,first_solution,1.000,1,0.001129,0.001013,0.002142,45.239218,34.841965
PRMstar,1,17,129345,1000000,0,first_solution,1.000,1,5.007876,0.000531,5.008407,29.031532,24.714199
RRTstar,1,17,129345,1000000,0,first_solution,1.000,1,5.001586,0.000758,5.002344,30.928135,24.797850
BITstar,1,17,129345,1000000,0,first_solution,1.000,1,4.039688,0.000685,4.040372,29.263304,24.467171
RRTConnect,1,18,130345,1000000,0,first_solution,1.000,1,0.000543,0.001060,0.001603,42.583376,32.830977
PRMstar,1,18,130345,1000000,0,first_solution,1.000,1,5.007147,0.000662,5.007809,28.239714,24.232120
RRTstar,1,18,130345,1000000,0,first_solution,1.000,1,5.001297,0.000644,5.001941,29.507739,25.534369
BITstar,1,18,130345,1000000,0,first_solution,1.000,1,4.106080,0.000756,4.106836,30.111963,24.251339
RRTConnect,1,19,131345,1000000,0,first_solution,1.000,1,0.002289,0.000976,0.003265,46.210711,35.725852
PRMstar,1,19,131345,1000000,0,first_solution,1.000,1,5.007471,0.000649,5.008120,29.551182,24.642559
RRTstar,1,19,131345,1000000,0,first_solution,1.000,1,5.002120,0.000646,5.002765,29.476139,24.740665
BITstar,1,19,131345,1000000,0,first_solution,1.000,1,4.010430,0.000628,4.011058,28.985385,25.869133
RRTConnect,2,0,212345,2000000,0,first_solution,1.000,1,0.000453,0.000656,0.001109,33.505545,26.140730
