planner,env_seed,run,seed,obstacle_seed,resample_attempt,success,total_time_s,total_length
BITstar,3,12,324345,3000000,0,1,1.004028,25.975498
RRTConnect,3,13,325345,3000000,0,1,0.008476,37.991877
PRMstar,3,13,325345,3000000,0,1,5.022454,27.203523
RRTstar,3,13,325345,3000000,0,1,5.031736,26.638249
BITstar,3,13,325345,3000000,0,1,1.011165,27.211363
RRTConnect,3,14,326345,3000000,0,1,0.003904,37.267547
PRMstar,3,14,326345,3000000,0,1,5.036739,26.894939
RRTstar,3,14,326345,3000000,0,1,5.040285,25.812652
BITstar,3,14,326345,3000000,0,1,1.012472,26.617785
RRTConnect,3,15,327345,3000000,0,1,0.005302,28.213747
PRMstar,3,15,327345,3000000,0,1,5.027590,27.616340
RRTstar,3,15,327345,3000000,0,1,5.020681,26.217227
BITstar,3,15,327345,3000000,0,1,1.015661,26.026271
RRTConnect,3,16,328345,3000000,0,1,0.007494,29.311961
PRMstar,3,16,328345,3000000,0,1,5.033823,26.685029
RRTstar,3,16,328345,3000000,0,1,5.029341,25.787201
BITstar,3,16,328345,3000000,0,1,1.004969,27.326198
RRTConnect,3,17,329345,3000000,0,1,0.004828,37.136005
PRMstar,3,17,329345,3000000,0,1,5.026869,26.812911
RRTstar,3,17,329345,3000000,0,1,5.030477,26.643537
BITstar,3,17,329345,3000000,0,1,1.009303,28.418614
RRTConnect,3,18,330345,3000000,0,1,0.004008,38.755810
PRMstar,3,18,330345,3000000,0,1,5.035330,25.939073
RRTstar,3,18,330345,3000000,0,1,5.019611,25.778648
BITstar,3,18,330345,3000000,0,1,1.009139,26.433895
RRTConnect,3,19,331345,3000000,0,1,0.008587,39.996580
PRMstar,3,19,331345,3000000,0,1,5.035433,26.702013
RRTstar,3,19,331345,3000000,0,1,5.029740,26.139317
BITstar,3,19,331345,3000000,0,1,1.012664,27.144300
RRTConnect,4,0,412345,4000000,0,1,0.003573,36.491449
PRMstar,4,0,412345,4000000,0,1,5.037900,29.837514
RRTstar,4,0,412345,4000000,0,1,5.026641,28.331515
BITstar,4,0,412345,4000000,0,1,2.033652,35.530459
RRTConnect,4,1,413345,4000000,0,1,0.006519,39.245469
PRMstar,4,1,413345,4000000,0,1,5.035889,29.640955
RRTstar,4,1,413345,4000000,0,1,5.029855,34.139124
BITstar,4,1,413345,4000000,0,1,2.012402,35.454175
RRTConnect,4,2,414345,4000000,0,1,0.001860,34.984681
PRMstar,4,2,414345,4000000,0,1,5.025049,29.211204
RRTstar,4,2,414345,4000000,0,1,5.025270,27.610907
BITstar,4,2,414345,4000000,0,1,2.011363,37.528435
RRTConnect,4,3,415345,4000000,0,1,0.002972,38.288838
PRMstar,4,3,415345,4000000,0,1,5.038932,29.165273
RRTstar,4,3,415345,4000000,0,1,5.037291,34.743172
BITstar,4,3,415345,4000000,0,1,2.014930,36.379593
RRTConnect,4,4,416345,4000000,0,1,0.004265,35.935492
PRMstar,4,4,416345,4000000,0,1,5.034178,30.658462
RRTstar,4,4,416345,4000000,0,1,5.031874,27.818719
BITstar,4,4,416345,4000000,0,1,2.013521,34.617304
RRTConnect,4,5,417345,4000000,0,1,0.007376,36.804169
PRMstar,4,5,417345,4000000,0,1,5.028003,35.327666
RRTstar,4,5,417345,4000000,0,1,5.022428,33.927938
BITstar,4,5,417345,4000000,0,1,2.030846,36.274119
RRTConnect,4,6,418345,4000000,0,1,0.002828,37.320535
PRMstar,4,6,418345,4000000,0,1,5.029819,27.744057
RRTstar,4,6,418345,4000000,0,1,5.037687,26.781816
BITstar,4,6,418345,4000000,0,1,2.005776,28.870041
RRTConnect,4,7,419345,4000000,0,1,0.005395,36.166017
PRMstar,4,7,419345,4000000,0,1,5.033808,28.079351
RRTstar,4,7,419345,4000000,0,1,5.033403,27.120575
BITstar,4,7,419345,4000000,0,1,2.009047,34.547835
RRTConnect,4,8,420345,4000000,0,1,0.005114,36.207214
PRMstar,4,8,420345,4000000,0,1,5.048169,35.728629
RRTstar,4,8,420345,4000000,0,1,5.031561,27.211691
BITstar,4,8,420345,4000000,0,1,2.037283,35.102799
RRTConnect,4,9,421345,4000000,0,1,0.004134,36.438051
PRMstar,4,9,421345,4000000,0,1,5.029372,35.796884
RRTstar,4,9,421345,4000000,0,1,5.031408,28.001319
BITstar,4,9,421345,4000000,0,1,2.009187,36.259206
RRTConnect,4,10,422345,4000000,0,1,0.005341,35.609767
PRMstar,4,10,422345,4000000,0,1,5.034881,29.511994
RRTstar,4,10,422345,4000000,0,1,5.035689,28.156192
BITstar,4,10,422345,4000000,0,1,2.040928,29.201887
RRTConnect,4,11,423345,4000000,0,1,0.002108,36.248730
PRMstar,4,11,423345,4000000,0,1,5.029088,28.561531
RRTstar,4,11,423345,4000000,0,1,5.029950,28.809425
BITstar,4,11,423345,4000000,0,1,2.261582,29.944717
RRTConnect,4,12,424345,4000000,0,1,0.004745,36.257851
PRMstar,4,12,424345,4000000,0,1,5.027260,29.629426
RRTstar,4,12,424345,4000000,0,1,5.036320,27.738507
BITstar,4,12,424345,4000000,0,1,2.014951,35.022232
RRTConnect,4,13,425345,4000000,0,1,0.002689,35.291721
PRMstar,4,13,425345,4000000,0,1,5.022276,29.064156
RRTstar,4,13,425345,4000000,0,1,5.030941,33.054091
BITstar,4,13,425345,4000000,0,1,2.028908,28.676061
RRTConnect,4,14,426345,4000000,0,1,0.004248,37.628894
PRMstar,4,14,426345,4000000,0,1,5.026793,28.860167
RRTstar,4,14,426345,4000000,0,1,5.033261,27.638021
BITstar,4,14,426345,4000000,0,1,2.013349,35.161945
RRTConnect,4,15,427345,4000000,0,1,0.005134,37.164460
PRMstar,4,15,427345,4000000,0,1,5.031390,30.850099
RRTstar,4,15,427345,4000000,0,1,5.029000,34.575473
BITstar,4,15,427345,4000000,0,1,2.018435,36.513542
RRTConnect,4,16,428345,4000000,0,1,0.004293,36.295626
PRMstar,4,16,428345,4000000,0,1,5.031771,29.324994
RRTstar,4,16,428345,4000000,0,1,5.028826,29.477778
BITstar,4,16,428345,4000000,0,1,2.011836,28.709709
RRTConnect,4,17,429345,4000000,0,1,0.006443,38.006346
PRMstar,4,17,429345,4000000,0,1,5.022203,34.483667
RRTstar,4,17,429345,4000000,0,1,5.026399,27.824838
BITstar,4,17,429345,4000000,0,1,2.011716,38.557274
RRTConnect,4,18,430345,4000000,0,1,0.005195,35.910629
PRMstar,4,18,430345,4000000,0,1,5.029340,29.138885
RRTstar,4,18,430345,4000000,0,1,5.021485,28.567446
BITstar,4,18,430345,4000000,0,1,2.051837,34.666242
RRTConnect,4,19,431345,4000000,0,1,0.005972,37.443869
PRMstar,4,19,431345,4000000,0,1,5.044790,36.105045
RRTstar,4,19,431345,4000000,0,1,5.021664,33.489059
BITstar,4,19,431345,4000000,0,1,2.013359,36.716791
